L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.220437,-1.94006,-0.487467,-1.20904,0.567636,-29.4975
0.222527,-1.94131,-0.486132,-1.20687,0.569531,-29.4976
0.224821,-1.94291,-0.484974,-1.20455,0.57148,-29.4958
0.227513,-1.94481,-0.483794,-1.20194,0.57357,-29.4921
0.230779,-1.9469,-0.482483,-1.1989,0.57587,-29.4863
0.234724,-1.9491,-0.481026,-1.19533,0.578445,-29.4786
0.239359,-1.9513,-0.479635,-1.1912,0.581332,-29.4693
0.244571,-1.95346,-0.478675,-1.18658,0.584539,-29.4587
0.250121,-1.95552,-0.478744,-1.18162,0.588039,-29.4478
0.255698,-1.95745,-0.480492,-1.17652,0.591798,-29.437
0.26097,-1.95921,-0.484505,-1.17148,0.595783,-29.4271
0.265621,-1.96077,-0.491253,-1.16667,0.59998,-29.4187
0.26931,-1.96208,-0.501172,-1.16224,0.604367,-29.4121
0.271737,-1.9631,-0.514503,-1.15827,0.608925,-29.4076
0.272725,-1.96379,-0.531083,-1.15476,0.613619,-29.4049
0.272201,-1.96416,-0.550436,-1.15155,0.618424,-29.4037
0.270159,-1.96425,-0.571833,-1.14848,0.623279,-29.4033
0.266676,-1.96412,-0.594318,-1.1453,0.628055,-29.4032
0.261859,-1.96388,-0.616901,-1.14178,0.632586,-29.4026
0.255802,-1.96362,-0.63869,-1.13762,0.636657,-29.4009
0.248627,-1.96347,-0.658883,-1.13252,0.640033,-29.3971
0.240422,-1.96352,-0.67692,-1.12621,0.642488,-29.3905
0.23131,-1.96386,-0.692384,-1.11848,0.643816,-29.3806
0.2214,-1.96461,-0.705012,-1.10914,0.643863,-29.3667
0.210782,-1.96582,-0.714758,-1.09808,0.642519,-29.3484
0.19954,-1.96754,-0.721678,-1.08525,0.639734,-29.3254
0.187755,-1.96978,-0.725835,-1.07064,0.635525,-29.2975
0.175519,-1.9725,-0.72733,-1.05431,0.629991,-29.2648
0.162954,-1.97564,-0.726257,-1.03637,0.623281,-29.2273
0.150239,-1.97908,-0.72272,-1.01701,0.615612,-29.1854
0.137601,-1.9827,-0.716788,-0.996432,0.607212,-29.1394
0.125272,-1.98638,-0.708688,-0.97491,0.598311,-29.0898
0.113494,-1.99,-0.698661,-0.952781,0.589125,-29.037
0.102418,-1.99349,-0.687108,-0.930438,0.579788,-28.9818
0.092134,-1.99678,-0.674563,-0.908351,0.570409,-28.925
0.0826048,-1.99985,-0.661706,-0.887018,0.561036,-28.8675
0.0736604,-2.00265,-0.649399,-0.866962,0.551701,-28.8104
0.0649788,-2.00517,-0.638702,-0.84872,0.542423,-28.7546
0.0561384,-2.0074,-0.63086,-0.832795,0.533218,-28.7013
0.0466586,-2.00934,-0.627165,-0.819606,0.52408,-28.6513
