L_X,L_Y,L_Z,R_X,R_Y,R_Z
1.10609,-3.14857,-13.1324,2.06571,-1.14009,-30.0894
1.10667,-3.15045,-13.1199,2.06057,-1.13465,-30.0959
1.10644,-3.15327,-13.1041,2.05743,-1.12891,-30.1046
1.10518,-3.157,-13.0857,2.05601,-1.12322,-30.1159
1.10268,-3.16158,-13.0656,2.05597,-1.11795,-30.1304
1.09874,-3.16689,-13.0446,2.05701,-1.11343,-30.1482
1.0932,-3.17276,-13.0236,2.05883,-1.10997,-30.1694
1.08595,-3.17897,-13.0035,2.06114,-1.10784,-30.194
1.07693,-3.18525,-12.985,2.06371,-1.10725,-30.2217
1.06617,-3.19126,-12.969,2.06634,-1.10831,-30.2521
1.05375,-3.19666,-12.9559,2.06887,-1.11107,-30.2848
1.0398,-3.2011,-12.9461,2.07123,-1.11548,-30.319
1.02455,-3.20419,-12.9398,2.07339,-1.1214,-30.3544
1.00823,-3.20555,-12.937,2.07546,-1.12856,-30.3902
0.991152,-3.20483,-12.9376,2.07766,-1.13661,-30.4259
0.973629,-3.20168,-12.9414,2.08034,-1.14507,-30.4609
0.956004,-3.19579,-12.948,2.084,-1.15336,-30.4945
0.938621,-3.18688,-12.9569,2.0893,-1.16084,-30.5263
0.921797,-3.17472,-12.9676,2.09702,-1.16675,-30.5556
0.905823,-3.15914,-12.9793,2.10804,-1.17027,-30.582
0.890929,-3.14001,-12.9916,2.12333,-1.17057,-30.6048
0.877276,-3.11731,-13.0037,2.14392,-1.16676,-30.6235
0.864936,-3.09108,-13.0151,2.17086,-1.15798,-30.6374
0.853895,-3.06143,-13.0252,2.20519,-1.14337,-30.6462
0.844034,-3.02857,-13.0335,2.24794,-1.12214,-30.6492
0.835145,-2.99277,-13.0398,2.3001,-1.0935,-30.6457
0.82696,-2.95438,-13.0437,2.36264,-1.05674,-30.6353
0.819152,-2.91381,-13.0451,2.43657,-1.01116,-30.6172
0.811386,-2.87148,-13.0436,2.52297,-0.956043,-30.5905
0.803328,-2.82784,-13.0393,2.62306,-0.890693,-30.5542
0.794669,-2.78332,-13.0319,2.73828,-0.81435,-30.5071
0.785144,-2.73835,-13.0212,2.87034,-0.72619,-30.4478
0.774557,-2.6933,-13.007,3.0213,-0.625268,-30.3746
0.762749,-2.64852,-12.9893,3.19361,-0.510514,-30.286
0.749621,-2.60428,-12.9676,3.3901,-0.380698,-30.18
0.735128,-2.56085,-12.942,3.61408,-0.234386,-30.0547
0.719252,-2.5184,-12.9123,3.86924,-0.0699617,-29.9084
0.702013,-2.4771,-12.8784,4.15969,0.114402,-29.7391
0.683452,-2.43705,-12.8405,4.48984,0.320717,-29.545
0.663626,-2.39832,-12.7988,4.86431,0.551181,-29.3245
0.642602,-2.36097,-12.7538,5.28777,0.808109,-29.0759
0.620456,-2.325,-12.706,5.76479,1.09393,-28.7976
0.597277,-2.29041,-12.6562,6.29961,1.41111,-28.4882
0.57317,-2.25713,-12.6053,6.89589,1.7621,-28.1464
0.548279,-2.22511,-12.5543,7.55649,2.14927,-27.7707
0.522781,-2.19425,-12.5042,8.28317,2.57481,-27.36
0.496915,-2.16445,-12.4562,9.07633,3.0407,-26.9133
0.470973,-2.1356,-12.4112,9.93471,3.54851,-26.4298
0.445301,-2.10761,-12.37,10.8552,4.09938,-25.9094
0.420297,-2.08042,-12.3334,11.8324,4.69379,-25.3526
0.396392,-2.05398,-12.3017,12.8589,5.33142,-24.7609
0.374031,-2.02831,-12.2751,13.9247,6.01094,-24.1369
0.35368,-2.00345,-12.2537,15.018,6.72979,-23.4848
0.335743,-1.9795,-12.2373,16.1247,7.48393,-22.8105
0.320627,-1.95655,-12.2255,17.2291,8.2676,-22.1217
0.308666,-1.93478,-12.2179,18.3144,9.07316,-21.4277
0.300152,-1.91432,-12.2136,19.3632,9.891,-20.7397
0.295287,-1.89532,-12.2119,20.3584,10.7095,-20.0702
0.294216,-1.87795,-12.2119,21.2834,11.5154,-19.4325
0.296976,-1.86232,-12.2126,22.1235,12.294,-18.8401
0.303507,-1.84852,-12.2132,22.8658,13.0295,-18.3062
0.313671,-1.83662,-12.2129,23.4997,13.7064,-17.8427
0.327218,-1.8266,-12.2109,24.0175,14.3094,-17.4602
0.343843,-1.81842,-12.2067,24.414,14.8251,-17.1668
0.36316,-1.81194,-12.1999,24.6863,15.242,-16.9685
0.38478,-1.80691,-12.1902,24.8342,15.5516,-16.8685
